,image_path,mask_path,class,scan,mask_quality
51,c:\Users\chris\Desktop\University\Thesis\AutomaticMicrogliaMorphologyAnalysis\AnnotationsData\Segmentations\images\2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01\MG_whole\ann-100__x-36603_y-19573_w-222_h-223__ds-1.png,c:\Users\chris\Desktop\University\Thesis\AutomaticMicrogliaMorphologyAnalysis\AnnotationsData\Segmentations\masks\2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01\MG_whole\ann-100__x-36603_y-19573_w-222_h-223__ds-1.png,MG_whole,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01,bad
52,c:\Users\chris\Desktop\University\Thesis\AutomaticMicrogliaMorphologyAnalysis\AnnotationsData\Segmentations\images\2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01\MG_whole\ann-101__x-37119_y-19655_w-146_h-199__ds-1.png,c:\Users\chris\Desktop\University\Thesis\AutomaticMicrogliaMorphologyAnalysis\AnnotationsData\Segmentations\masks\2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01\MG_whole\ann-101__x-37119_y-19655_w-146_h-199__ds-1.png,MG_whole,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01,good
53,c:\Users\chris\Desktop\University\Thesis\AutomaticMicrogliaMorphologyAnalysis\AnnotationsData\Segmentations\images\2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01\MG_whole\ann-15__x-31021_y-29022_w-90_h-87__ds-1.png,c:\Users\chris\Desktop\University\Thesis\AutomaticMicrogliaMorphologyAnalysis\AnnotationsData\Segmentations\masks\2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01\MG_whole\ann-15__x-31021_y-29022_w-90_h-87__ds-1.png,MG_whole,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01,good
54,c:\Users\chris\Desktop\University\Thesis\AutomaticMicrogliaMorphologyAnalysis\AnnotationsData\Segmentations\images\2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01\MG_whole\ann-17__x-29416_y-23053_w-201_h-194__ds-1.png,c:\Users\chris\Desktop\University\Thesis\AutomaticMicrogliaMorphologyAnalysis\AnnotationsData\Segmentations\masks\2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01\MG_whole\ann-17__x-29416_y-23053_w-201_h-194__ds-1.png,MG_whole,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01,medium
55,c:\Users\chris\Desktop\University\Thesis\AutomaticMicrogliaMorphologyAnalysis\AnnotationsData\Segmentations\images\2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01\MG_whole\ann-18__x-30248_y-22502_w-86_h-72__ds-1.png,c:\Users\chris\Desktop\University\Thesis\AutomaticMicrogliaMorphologyAnalysis\AnnotationsData\Segmentations\masks\2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01\MG_whole\ann-18__x-30248_y-22502_w-86_h-72__ds-1.png,MG_whole,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01,bad_image_quality
56,c:\Users\chris\Desktop\University\Thesis\AutomaticMicrogliaMorphologyAnalysis\AnnotationsData\Segmentations\images\2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01\MG_whole\ann-20__x-30461_y-22388_w-66_h-71__ds-1.png,c:\Users\chris\Desktop\University\Thesis\AutomaticMicrogliaMorphologyAnalysis\AnnotationsData\Segmentations\masks\2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01\MG_whole\ann-20__x-30461_y-22388_w-66_h-71__ds-1.png,MG_whole,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01,good
57,c:\Users\chris\Desktop\University\Thesis\AutomaticMicrogliaMorphologyAnalysis\AnnotationsData\Segmentations\images\2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01\MG_whole\ann-21__x-32163_y-23330_w-281_h-218__ds-1.png,c:\Users\chris\Desktop\University\Thesis\AutomaticMicrogliaMorphologyAnalysis\AnnotationsData\Segmentations\masks\2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01\MG_whole\ann-21__x-32163_y-23330_w-281_h-218__ds-1.png,MG_whole,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01,good
58,c:\Users\chris\Desktop\University\Thesis\AutomaticMicrogliaMorphologyAnalysis\AnnotationsData\Segmentations\images\2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01\MG_whole\ann-22__x-32418_y-23488_w-128_h-154__ds-1.png,c:\Users\chris\Desktop\University\Thesis\AutomaticMicrogliaMorphologyAnalysis\AnnotationsData\Segmentations\masks\2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01\MG_whole\ann-22__x-32418_y-23488_w-128_h-154__ds-1.png,MG_whole,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01,good
59,c:\Users\chris\Desktop\University\Thesis\AutomaticMicrogliaMorphologyAnalysis\AnnotationsData\Segmentations\images\2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01\MG_whole\ann-23__x-32645_y-23536_w-134_h-160__ds-1.png,c:\Users\chris\Desktop\University\Thesis\AutomaticMicrogliaMorphologyAnalysis\AnnotationsData\Segmentations\masks\2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01\MG_whole\ann-23__x-32645_y-23536_w-134_h-160__ds-1.png,MG_whole,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01,medium
60,c:\Users\chris\Desktop\University\Thesis\AutomaticMicrogliaMorphologyAnalysis\AnnotationsData\Segmentations\images\2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01\MG_whole\ann-24__x-32200_y-19200_w-283_h-238__ds-1.png,c:\Users\chris\Desktop\University\Thesis\AutomaticMicrogliaMorphologyAnalysis\AnnotationsData\Segmentations\masks\2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01\MG_whole\ann-24__x-32200_y-19200_w-283_h-238__ds-1.png,MG_whole,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01,good
