cell_id,skeleton_length,num_junctions,num_components,num_end_nodes,num_start_nodes,total_nodes,end_to_start_ratio,soma_area,soma_perimeter,soma_circularity,cell_area,cell_perimeter,cell_convex_hull_area,cell_convex_hull_perimeter,cell_solidity,cell_convexity,cell_circularity,cell_convex_circularity,branch_area,branch_perimeter,sholl_min_radius,sholl_peak_radius,sholl_max_radius,sholl_peak,sholl_sum,xmin,ymin,xmax,ymax,image_name,scan_name,global_cell_id
0,51,1,2,2,3,5,0.6666666666666666,836,121.49747383594513,0.7116748934812537,1255,218.06601536273956,1793.5,169.5495067834854,0.6997490939503763,0.7775145820014646,0.3316481766334309,0.7840038285841323,489,247.37972366809845,15,17,48,5,51,352.8058,454.52316,430.2693,504.02402,tile_x10240_y10240_gray_matter,2014-048_Iba1_Temporal_pole_Batch_8,tile_x10240_y10240_gray_matter_cell_0
1,82,1,8,9,7,16,1.2857142857142858,1036,157.29646337032318,0.5261768094170755,1481,302.2497808933258,2894.0,212.39356350898743,0.5117484450587422,0.702708742687057,0.2037196555201457,0.8061682459412123,528,301.0782079696655,9,22,50,7,82,0.3314209,446.16455,81.36781,511.65808,tile_x10240_y10240_gray_matter,2014-048_Iba1_Temporal_pole_Batch_8,tile_x10240_y10240_gray_matter_cell_1
0,210,3,2,4,3,7,1.3333333333333333,145,45.55634891986847,0.8779707452530472,915,344.14927566051483,4643.5,283.7290254831314,0.19704963928071498,0.8244359222856978,0.09708166999663896,0.7248493955826354,839,346.04877042770386,7,11,66,7,210,2.5114136,0.0,136.16318,72.98819,tile_x10240_y10752_gray_matter,2014-048_Iba1_Temporal_pole_Batch_8,tile_x10240_y10752_gray_matter_cell_0
1,76,3,2,5,2,7,2.5,459,81.5979790687561,0.8662908834685908,998,227.82337474822998,1944.5,173.21272480487823,0.5132424787863203,0.760293911879312,0.24162609977472158,0.814438366628884,552,279.2792184352875,13,37,48,5,76,433.5232,150.18008,507.14642,207.88992,tile_x10240_y10752_gray_matter,2014-048_Iba1_Temporal_pole_Batch_8,tile_x10240_y10752_gray_matter_cell_1
2,63,0,2,2,2,4,1.0,587,96.56854152679443,0.7910002497943016,1162,244.20815074443817,1818.5,208.76044237613678,0.6389881770690129,0.8548463339153772,0.24484750457792603,0.524356616510745,582,305.5634891986847,19,20,61,3,63,396.5641,240.17969,497.38647,286.73724,tile_x10240_y10752_gray_matter,2014-048_Iba1_Temporal_pole_Batch_8,tile_x10240_y10752_gray_matter_cell_2
0,363,7,4,11,4,15,2.75,610,102.18376553058624,0.734134939357332,2717,682.7838325500488,14019.0,464.874146938324,0.19380840288180326,0.6808511343950843,0.07323742131028195,0.8151848708382137,2107,784.3818116188049,14,44,99,11,363,102.18744,359.5724,274.04523,512.0,tile_x10240_y12288_gray_matter,2014-048_Iba1_Temporal_pole_Batch_8,tile_x10240_y12288_gray_matter_cell_0
1,138,3,6,7,6,13,1.1666666666666667,1014,128.81118214130402,0.7679636909063912,2175,413.88939011096954,4141.5,266.6963906288147,0.5251720391162622,0.6443663379660678,0.15955137018678975,0.7317003342461301,1166,505.1442233324051,15,31,53,8,138,94.27622,205.41805,199.52585,317.78912,tile_x10240_y12288_gray_matter,2014-048_Iba1_Temporal_pole_Batch_8,tile_x10240_y12288_gray_matter_cell_1
0,109,3,3,6,3,9,2.0,403,74.42640614509583,0.9142412511445511,1416,292.45079135894775,2716.0,229.4025684595108,0.5213549337260678,0.7844142510045291,0.20804990202489393,0.6485494232651711,1013,292.45079135894775,12,31,49,9,109,373.01636,120.87691,444.45337,226.34404,tile_x10240_y13312_gray_matter,2014-048_Iba1_Temporal_pole_Batch_8,tile_x10240_y13312_gray_matter_cell_0
1,73,1,1,1,1,2,1.0,316,67.94112491607666,0.8602634670472842,959,251.76449966430664,1712.5,222.01068663597107,0.56,0.8818188701425015,0.19012511396049692,0.4366090004030548,646,285.5634891986847,15,21,89,2,73,430.8147,59.600163,512.0,157.54495,tile_x10240_y13312_gray_matter,2014-048_Iba1_Temporal_pole_Batch_8,tile_x10240_y13312_gray_matter_cell_1
0,14,0,2,2,2,4,1.0,589,123.15432798862457,0.48800671871813145,1124,162.95331752300262,1242.0,147.80406057834625,0.9049919484702094,0.907033148051632,0.5319242159424062,0.7144284305967599,535,271.2792184352875,14,14,39,2,14,195.98315,147.01726,255.15265,220.34404,tile_x10240_y13824_gray_matter,2014-048_Iba1_Temporal_pole_Batch_8,tile_x10240_y13824_gray_matter_cell_0
