cell_id,length_pixels,num_branches,num_components,soma_area,soma_perimeter,soma_circularity,cell_area,cell_perimeter,cell_convex_hull_area,cell_convex_hull_perimeter,cell_solidity,cell_convexity,cell_circularity,xmin,ymin,xmax,ymax,image_name,scan_folder,global_cell_id
0,368,19,5,456,96.18376553058624,0.6193999355962206,2983,833.4945094585419,10094.5,442.5785536766052,0.29550745455446037,0.5309915646164424,0.053958222017770494,219.1669,197.91168,315.9736,423.90656,tile_14736_x21504_y31744,slide_4,tile_14736_x21504_y31744_cell_0
1,248,22,2,633,108.42640614509583,0.6766178454384122,2033,566.0731556415558,8652.5,431.2027665376663,0.23496099393238948,0.7617438881180739,0.07972639412190899,277.16656,0.45343018,391.4903,211.61954,tile_14736_x21504_y31744,slide_4,tile_14736_x21504_y31744_cell_1
0,404,23,4,831,141.1959581375122,0.5238010421594217,3667,934.790972828865,27042.5,648.2722693681717,0.13560136821669594,0.6934943620672435,0.0527341262223688,165.88129,164.9776,429.94452,349.99487,tile_14795_x51712_y31744,slide_4,tile_14795_x51712_y31744_cell_0
0,157,16,5,869,113.84061968326569,0.8426265484036725,2105,405.4629839658737,3589.0,251.31292498111725,0.5865143494009474,0.619817184106427,0.16090129510982296,106.2536,0.17577362,245.06088,78.11051,tile_23424_x101376_y50176,slide_5,tile_23424_x101376_y50176_cell_0
0,132,12,7,1272,242.6518018245697,0.27147505779125697,1461,357.22034335136414,4288.0,286.33477199077606,0.34071828358208955,0.8015634532581349,0.14387578719348626,47.995224,2.9727325,136.2542,148.72205,tile_23425_x101888_y50176,slide_5,tile_23425_x101888_y50176_cell_0
0,276,17,6,1572,177.92387998104095,0.6240134124172904,3665,587.2863587141037,9667.0,380.20809948444366,0.3791248577635254,0.6473981454582575,0.13353158878853577,112.51422,371.5589,240.85822,512.0,tile_23427_x102912_y50176,slide_5,tile_23427_x102912_y50176_cell_0
1,141,6,2,358,71.35533845424652,0.8835679411295301,1114,353.7056245803833,3389.5,242.58157086372375,0.32866204454934356,0.6858289888703609,0.11189511396047128,351.4466,0.0,438.41187,113.38678,tile_23427_x102912_y50176,slide_5,tile_23427_x102912_y50176_cell_1
0,216,41,4,594,88.76955199241638,0.9472579369948646,2143,471.24472856521606,4938.5,295.98680663108826,0.4339374303938443,0.6280957402585063,0.12126599227390321,423.22284,290.6018,512.0,431.68616,tile_23430_x104448_y50176,slide_5,tile_23430_x104448_y50176_cell_0
0,167,13,5,593,109.9827550649643,0.6160491579508415,1459,391.50461411476135,4380.5,276.1639689207077,0.3330670014838489,0.7053913516323361,0.1196165813890972,375.2153,75.92767,478.6877,200.07864,tile_23431_x104960_y50176,slide_5,tile_23431_x104960_y50176_cell_0
1,44,0,3,529,86.91168737411499,0.8800536987426875,1098,196.99494767189026,1609.0,169.79433226585388,0.6824114356743319,0.8619222689338154,0.3555511013335853,188.79388,51.93207,256.6134,137.02426,tile_23431_x104960_y50176,slide_5,tile_23431_x104960_y50176_cell_1
