cell_id,skeleton_length,num_junctions,num_components,num_end_nodes,num_start_nodes,total_nodes,end_to_start_ratio,soma_area,soma_perimeter,soma_circularity,cell_area,cell_perimeter,cell_convex_hull_area,cell_convex_hull_perimeter,cell_solidity,cell_convexity,cell_circularity,cell_convex_circularity,branch_area,branch_perimeter,sholl_min_radius,sholl_peak_radius,sholl_max_radius,sholl_peak,sholl_sum,xmin,ymin,xmax,ymax,image_name,split,global_cell_id
0,299,4,3,7,3,10,2.3333333333333335,533,97.15432798862457,0.7095986307308058,2145,803.5777697563171,14599.0,481.9636962413788,0.14692787177203917,0.5997723112568595,0.04174277651974984,0.7897767050926134,1615,877.4183894395828,13,40,103,11,299,339,137,511,319,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01_x19808_y31998_ps512,train,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01_x19808_y31998_ps512_cell_0
0,374,9,2,9,2,11,4.5,440,83.84061968326569,0.7865993465358934,2690,880.8670928478241,13741.0,557.8871665000916,0.195764500400262,0.6333386398809093,0.0435653664964485,0.5547987340150629,2251,942.8082177639008,16,45,148,12,374,128,187,350,484,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01_x20677_y33969_ps512,train,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01_x20677_y33969_ps512_cell_0
0,318,9,4,10,3,13,3.3333333333333335,429,80.18376553058624,0.8384829991353246,2638,776.1391710042953,7972.5,418.19671654701233,0.33088742552524303,0.5388166609422396,0.05503075236405689,0.5728529509622661,2209,852.3229365348816,12,29,120,13,318,409,294,507,489,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01_x21130_y32006_ps512,train,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01_x21130_y32006_ps512_cell_0
1,222,3,5,7,6,13,1.1666666666666667,580,89.74011445045471,0.9050334258743813,1624,574.7005722522736,5399.5,301.99551379680634,0.30076858968423004,0.5254832314039194,0.06178920817191065,0.7439819970672708,1063,618.3990565538406,11,21,102,8,222,99,54,265,171,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01_x21130_y32006_ps512,train,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01_x21130_y32006_ps512_cell_1
0,214,6,5,9,4,13,2.25,613,93.49747383594513,0.8811920786599493,1828,551.9310202598572,5296.5,281.48163855075836,0.3451335787784386,0.5099942351822021,0.07540783089336121,0.8400375501767162,1223,607.6295045614243,15,31,59,14,214,101,413,203,511,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01_x21540_y30442_ps512,train,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01_x21540_y30442_ps512_cell_0
1,136,2,3,5,3,8,1.6666666666666667,594,94.5269113779068,0.8353825005267398,1507,407.9482651948929,4414.0,251.94872748851776,0.341413683733575,0.617599703158811,0.11379231558933674,0.873811697922689,913,501.3036036491394,15,40,57,7,136,229,235,332,353,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01_x21540_y30442_ps512,train,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01_x21540_y30442_ps512_cell_1
0,297,5,4,9,3,12,3.0,414,82.28427076339722,0.7683808912981948,2548,748.4823168516159,7154.5,419.32448625564575,0.35613949262701794,0.5602329898981107,0.05715394318901483,0.5113152018866437,2171,762.7249574661255,14,58,102,9,297,0,267,65,485,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01_x21746_y31681_ps512,train,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01_x21746_y31681_ps512_cell_0
1,311,7,3,10,4,14,2.5,583,105.84061968326569,0.6539938599192971,2353,741.3279888629913,11155.0,508.5894498825073,0.2109367996414164,0.6860518657369922,0.053803558056555234,0.5419319359726765,1774,785.369619011879,20,25,119,10,311,38,7,152,268,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01_x21746_y31681_ps512,train,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01_x21746_y31681_ps512_cell_1
2,144,1,3,3,4,7,0.75,283,61.11269783973694,0.9522114230666143,1058,367.0609630346298,3486.5,260.3110383749008,0.30345618815430947,0.7091765798869278,0.09867772590292413,0.6465682348760807,781,411.10259318351746,10,18,59,10,144,377,121,489,206,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01_x21746_y31681_ps512,train,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01_x21746_y31681_ps512_cell_2
3,39,0,2,1,1,2,1.0,315,67.21320307254791,0.8762161085141507,633,166.02438521385193,969.5,143.3906352519989,0.6529138731304797,0.8636721350740191,0.28858238117959434,0.592537853493602,323,184.75230705738068,11,11,49,1,39,439,373,511,419,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01_x21746_y31681_ps512,train,2002-001_Iba1_Tp_B2_AD.vsi - 20x_BF_01_x21746_y31681_ps512_cell_3
