rank,global_cell_id,scan_name,image_name,xmin,ymin,xmax,ymax,skeleton_length,num_junctions,num_components,num_end_nodes,num_start_nodes,total_nodes,end_to_start_ratio,soma_area,soma_perimeter,soma_circularity,cell_area,cell_perimeter,cell_convex_hull_area,cell_convex_hull_perimeter,cell_solidity,cell_convexity,cell_circularity,cell_convex_circularity,branch_area,branch_perimeter,sholl_min_radius,sholl_peak_radius,sholl_max_radius,sholl_peak,sholl_sum,min_dist_to_known,x_row_position
1,tile_x30208_y45056_gray_matter_cell_2,2018-001_Iba1_Temporal_pole_Batch_6,tile_x30208_y45056_gray_matter,214.31259,18.345692,254.113,57.29124,22,1,1,2,0,2,0.0,518,98.32590091228484,0.6732924664313561,408,131.78174459934235,526.0,99.04135704040527,0.7756653992395437,0.7515559711363811,0.2952293441555629,0.6738487755507934,64,38.97056245803833,14,14,22,4,22,7.978413824482025,101270
2,tile_x23552_y24576_gray_matter_cell_0,2017-129_Iba1_Tp_B8_100,tile_x23552_y24576_gray_matter,198.74835,319.74048,340.61975,418.75183,159,1,3,3,2,5,1.5,1343,206.2670258283615,0.3966671753840484,1991,459.34523379802704,7817.0,360.8464000225067,0.2547012920557758,0.7855668753519057,0.1185776106785491,0.7544061534242947,868,497.3868639469147,16,80,110,14,159,7.662486503780216,71933
3,tile_x6656_y42496_gray_matter_cell_0,2018-001_Iba1_Temporal_pole_Batch_6,tile_x6656_y42496_gray_matter,108.73817,356.6845,189.7091,465.82178,115,3,3,4,4,8,1.0,1284,154.95331752300262,0.6720059681307812,3635,322.14927566051483,4660.5,269.73764991760254,0.779959231842077,0.8373063989187908,0.4401492445958805,0.8049320823827071,2351,322.14927566051483,22,66,69,8,115,7.295617770095161,106080
4,tile_x47616_y27648_gray_matter_cell_0,2017-129_Iba1_Tp_B8_100,tile_x47616_y27648_gray_matter,196.61475,305.6903,301.73846,413.65076,96,3,3,4,3,7,1.3333333333333333,370,71.94112491607666,0.8983739271436133,661,170.71067690849304,1984.5,181.15579974651337,0.3330813807004283,1.0611861134123397,0.2850295942996884,0.7599000655873186,315,204.5096664428711,12,14,44,6,96,6.266484822425164,76351
5,tile_x52224_y73728_gray_matter_cell_3,2014-048_Iba1_Temporal_pole_Batch_8,tile_x52224_y73728_gray_matter,226.02625,84.05491,410.46497,293.9083,353,7,3,11,2,13,5.5,379,79.01219260692596,0.7628881104700597,3160,887.6782749891281,19308.5,539.8720564842224,0.163658492373825,0.6081843745593914,0.0503948044635804,0.832485546631789,2823,895.5777697563171,16,67,121,15,353,6.202778679130719,7329
6,tile_x61440_y47616_gray_matter_cell_2,2017-160_Iba1_Temporal_pole_Batch_6,tile_x61440_y47616_gray_matter,220.01343,401.62317,301.72827,508.73267,183,5,2,7,2,9,3.5,208,82.62741661071777,0.3828466488264717,775,413.9482651948929,4025.0,272.0880987644196,0.1925465838509316,0.6572997682121376,0.0568354669996158,0.6832138421745991,729,393.7056245803833,5,34,99,8,183,6.030200364631529,90935
7,tile_x49664_y37376_gray_matter_cell_2,2016-020_Iba1_Temporal_pole_Batch_8,tile_x49664_y37376_gray_matter,180.25177,375.52792,229.34766,421.76242,38,0,1,2,0,2,0.0,147,45.89949476718903,0.8768219001300203,559,114.1248904466629,557.5,108.49848639965056,1.0026905829596413,0.9506995886261824,0.5393378811244831,0.5951238790663783,559,114.1248904466629,25,25,36,10,38,5.950990781253909,22651
8,tile_x43520_y9728_gray_matter_cell_1,2017-026_Iba1_Temporal_pole_Batch_8,tile_x43520_y9728_gray_matter,143.96481,99.065,177.08179,127.90253,8,1,1,2,0,2,0.0,612,94.97056245803832,0.8526744818666115,408,90.18376553058624,421.0,75.17669081687927,0.9691211401425178,0.8335944986837209,0.6303957802015848,0.9361071242387712,64,45.55634891986847,14,15,17,3,8,5.863292039732307,46250
9,tile_x48128_y55808_gray_matter_cell_1,2017-026_Iba1_Temporal_pole_Batch_8,tile_x48128_y55808_gray_matter,165.17068,53.09592,234.68808,135.5828,56,1,5,3,4,7,0.75,1294,150.61017167568207,0.716861956538083,1444,278.0071402788162,2243.5,184.41034936904907,0.6436371740583909,0.6633295432056243,0.234782193869672,0.8290206655820307,295,262.5929267406464,9,21,38,5,56,5.773339024761094,46973
10,tile_x34304_y18944_gray_matter_cell_4,2016-020_Iba1_Temporal_pole_Batch_8,tile_x34304_y18944_gray_matter,381.40887,301.88507,504.3722,452.51385,194,2,3,5,3,8,1.6666666666666667,1765,294.534051656723,0.2556722247068537,2869,697.0092282295227,8631.5,380.9456306695938,0.3323871864681689,0.5465431664904008,0.0742101579746936,0.7474293461744342,1598,731.9209156036377,11,69,117,7,194,5.708625658099989,19707
